TOWN11CD,Education Score
E34000007,-0.533750422
E34000016,1.952018749
E34000020,-1.044127985
E34000026,-1.249261949
E34000027,-1.169078452
E34000039,0.84513109
E34000048,-3.717919688
E34000055,-2.171307159
E34000056,6.437661398
E34000067,0.29540337
E34000068,4.304494117
E34000086,-4.001866891
E34000109,-5.023115005
E34000115,-1.26838592
E34000156,-1.264372252
E34000161,-0.718396082
E34000174,-4.061010691
E34000175,0.742113567
E34000181,0.263105429
E34000182,1.608629917
E34000184,-3.9569896
E34000188,-7.090910923
E34000193,1.381818433
E34000231,0.183946279
E34000234,-3.813706933
E34000242,1.419986073
E34000250,-0.309563755
E34000271,-0.955169026
E34000273,3.999734957
E34000278,-6.163408673
E34000290,-4.268131254
E34000306,3.860304863
E34000310,-0.241286848
E34000313,2.763057391
E34000327,-2.564226331
E34000353,6.610611497
E34000360,-0.513536679
E34000363,-6.01236232
E34000387,-0.164720472
E34000396,-6.371799113
E34000403,-3.325032651
E34000409,6.357287162
E34000416,-1.812283999
E34000430,3.362878498
E34000440,-1.970367969
E34000458,5.804185058
E34000469,-2.847094207
E34000473,-3.297142446
E34000482,5.628841984
E34000490,-3.141037157
E34000499,-1.985380107
E34000504,-2.899667069
E34000508,3.507476118
E34000509,3.418697624
E34000521,-0.550202426
E34000527,-3.92266164
E34000550,6.657041755
E34000553,3.806320645
E34000567,9.95812099
E34000573,0.193445297
E34000574,1.220084116
E34000589,1.573747159
E34000591,2.12673052
E34000597,-1.853352661
E34000628,3.747497559
E34000633,2.319207046
E34000645,3.299333602
E34000656,1.190595416
E34000682,-2.147693195
E34000692,-2.829698506
E34000697,1.749858286
E34000710,-2.967170753
E34000712,4.608072865
E34000732,-1.469337199
E34000741,3.528191799
E34000755,-4.105393361
E34000762,4.578194903
E34000766,3.808250711
E34000768,7.015299545
E34000776,-2.941145442
E34000786,-0.068426354
E34000792,1.187961052
E34000796,1.241814934
E34000815,3.11249282
E34000830,-0.715392574
E34000839,1.067191916
E34000843,1.792829385
E34000850,5.494822908
E34000852,-2.936731906
E34000857,2.148885342
E34000867,2.840554708
E34000879,1.13237635
E34000884,2.288312691
E34000885,-0.320502188
E34000891,4.63527406
E34000922,-1.4375767
E34000926,-0.357764516
E34000935,-2.483771314
E34000969,1.589070877
E34000970,1.134955613
E34000980,-0.8318962
E34000991,-6.040882817
E34000994,2.976086637
E34001024,-5.454821634
E34001039,3.951416094
E34001050,1.821911821
E34001052,2.542777863
E34001064,5.867008254
E34001066,8.266077082
E34001067,-4.036973003
E34001068,4.983969265
E34001070,1.30782494
E34001073,0.094829376
E34001102,-2.346464836
E34001108,2.198211806
E34001117,-0.775947056
E34001119,0.866802687
E34001126,7.657705361
E34001129,4.100819556
E34001202,1.29274296
E34001214,-0.393862219
E34001232,-2.585601614
E34001233,-3.049247235
E34001247,-3.532408517
E34001263,-4.033132508
E34001267,-4.980575217
E34001322,5.056930313
E34001339,-3.336777929
E34001373,2.036418475
E34001392,0.045950752
E34001398,-1.362611073
E34001401,-0.372545744
E34001416,3.287213662
E34001422,8.52407035
E34001430,2.742343958
E34001434,-4.090837485
E34001445,-4.708610354
E34001461,-3.130722094
E34001475,5.98289748
E34001481,6.668239188
E34001491,-9.79178081
E34001493,0.005535486
E34001504,-2.510765203
E34001518,4.545060749
E34001520,4.080634357
E34001537,0.040913958
E34001545,-5.341426577
E34001604,-2.329007892
E34001609,-1.183723077
E34001645,-3.329351471
E34001686,-0.056459409
E34001696,-0.543272318
E34001704,0.274798841
E34001711,6.420747235
E34001715,7.796484011
E34001733,0.082611978
E34001739,6.56252782
E34001750,-2.055701844
E34001759,-4.694684002
E34001766,1.715773536
E34001807,1.230205901
E34001850,-3.326532717
E34001881,0.645531654
E34001895,2.955442566
E34001896,-4.46402942
E34001940,-0.124779673
E34001958,-1.519621899
E34001962,-2.566804564
E34001966,2.191094304
E34001982,-2.411504279
E34001993,-0.980249672
E34002010,1.465412296
E34002041,-0.334002038
E34002053,-5.084834842
E34002054,0.537506979
E34002061,6.233039216
E34002074,-6.357467729
E34002085,-1.749072267
E34002105,10.77155677
E34002125,4.403636341
E34002141,-0.800938807
E34002160,-2.660956487
E34002161,-0.038425825
E34002164,4.609741018
E34002172,2.879243467
E34002176,-6.207951854
E34002180,-0.421589109
E34002182,-6.653926141
E34002191,6.774061908
E34002199,2.179427199
E34002202,1.457590086
E34002212,-6.915157397
E34002254,-1.764391177
E34002257,-4.352786938
E34002285,-4.05910281
E34002367,-4.049786694
E34002384,3.181615951
E34002432,-1.466742587
E34002433,-6.711417914
E34002446,-2.805766898
E34002470,1.023815376
E34002474,1.321650638
E34002475,7.172221185
E34002505,0.701730546
E34002511,5.649712778
E34002512,0.599919251
E34002528,10.74972706
E34002529,2.585660421
E34002540,2.021652879
E34002554,-3.750785762
E34002562,3.951955622
E34002605,3.730134
E34002608,3.283891891
E34002609,-1.06055732
E34002624,2.456561847
E34002637,-4.474723195
E34002653,0.559264105
E34002678,-0.395280266
E34002686,-3.147683679
E34002689,-1.482598265
E34002694,-9.622821465
E34002712,-2.13977095
E34002717,-4.418054903
E34002727,-2.725592731
E34002729,2.153188205
E34002730,1.709309858
E34002733,2.174353696
E34002746,1.821299858
E34002766,-3.872906722
E34002796,-0.383765608
E34002801,8.134159931
E34002816,-4.173643774
E34002820,0.574837261
E34002826,3.081454678
E34002854,3.790062821
E34002872,8.279432291
E34002877,-2.606345723
E34002878,2.545779792
E34002906,2.03595631
E34002917,0.650819418
E34002927,-1.702726769
E34002963,-6.794033365
E34002971,7.11604934
E34002993,-1.359109482
E34003008,-2.459003441
E34003021,-0.295070798
E34003024,-0.632590012
E34003029,2.400008357
E34003071,0.01403388
E34003078,-4.450589183
E34003082,4.888089933
E34003098,1.12736806
E34003102,-1.868861258
E34003104,-4.391985684
E34003109,-2.61264338
E34003112,-3.828427778
E34003124,2.081328337
E34003129,-2.251562259
E34003154,-0.110993506
E34003165,-3.048500521
E34003168,-2.599414593
E34003174,0.242248857
E34003178,1.129926322
E34003196,0.998725151
E34003205,-1.054967497
E34003206,-3.735958141
E34003218,5.915880633
E34003222,4.118350123
E34003241,5.522860023
E34003243,3.980502734
E34003244,4.051929603
E34003253,0.223261118
E34003258,-4.910679677
E34003294,-0.53407729
E34003297,5.529242273
E34003299,-0.216811374
E34003308,-1.107627457
E34003332,-0.485494354
E34003343,-2.223980389
E34003347,-1.155313769
E34003354,-0.613976223
E34003376,2.739689191
E34003389,-2.741101517
E34003397,-4.617306675
E34003412,2.255576163
E34003418,3.667706727
E34003424,1.536195874
E34003425,0.96055605
E34003440,4.239730507
E34003456,-0.055451779
E34003462,-3.177517481
E34003463,-3.879778293
E34003490,-0.950998707
E34003491,4.828025815
E34003494,-0.73465615
E34003511,11.03279063
E34003514,-5.326206889
E34003517,-3.009828323
E34003525,6.540699064
E34003541,-0.687678695
E34003553,1.21344731
E34003561,4.370325265
E34003562,-5.129770739
E34003565,-2.660142264
E34003566,3.50519266
E34003574,-9.394098568
E34003596,-0.665013634
E34003597,-5.142988334
E34003606,-5.847621161
E34003628,1.769499553
E34003657,0.667754595
E34003678,-4.193792492
E34003679,-4.441538623
E34003687,0.232283025
E34003707,1.924015748
E34003710,2.140563927
E34003723,2.579924913
E34003741,-4.129847271
E34003742,-0.606301025
E34003743,-0.017333666
E34003749,3.076387757
E34003750,4.095622523
E34003756,-2.615492732
E34003761,4.055957263
E34003769,1.06965726
E34003774,7.946548037
E34003793,-7.568628303
E34003804,2.282558794
E34003809,3.230994333
E34003851,-2.828181774
E34003862,-6.375848442
E34003864,4.512009379
E34003866,-6.492351722
E34003892,2.222929796
E34003904,3.321137101
E34003922,2.892892434
E34003928,2.669953734
E34003940,0.783062857
E34003989,-5.664436036
E34004012,0.490617302
E34004090,0.701047898
E34004099,2.825355496
E34004122,2.469207502
E34004125,-3.707811845
E34004134,-1.827642336
E34004138,0.159995512
E34004141,-5.590413957
E34004142,-0.951042944
E34004143,-6.093760141
E34004149,0.504834046
E34004151,-1.9293064
E34004153,0.573618012
E34004154,-3.940363044
E34004155,4.36478605
E34004157,-0.854759647
E34004162,5.567106097
E34004169,4.052207192
E34004170,4.530230361
E34004175,0.503225122
E34004181,0.559958632
E34004185,5.843868109
E34004187,5.24101226
E34004190,0.136307029
E34004191,0.824917989
E34004192,-3.787594963
E34004193,0.52174457
E34004196,-3.796327098
E34004197,1.141650348
E34004204,-3.25314731
E34004210,3.147476943
E34004213,2.20853634
E34004217,0.964040705
E34004218,-0.523466773
E34004222,1.742323459
E34004224,6.595780993
E34004225,2.778396148
E34004228,-4.086555371
E34004229,5.512185046
E34004233,-1.992542149
E34004240,-1.991447299
E34004242,-7.177692659
E34004246,4.499138003
E34004251,1.607305372
E34004252,2.203421596
E34004256,-4.583039557
E34004262,-4.619211514
E34004263,-1.784102991
E34004266,-1.566982084
E34004267,-0.755044037
E34004270,-0.819387943
E34004274,-0.057763175
E34004277,-3.686982506
E34004278,-1.886243775
E34004281,0.373393758
E34004282,-0.390506169
E34004292,-2.762929262
E34004293,-2.993949093
E34004294,-1.026951308
E34004302,3.390375305
E34004306,-0.337939563
E34004315,-5.880445314
E34004321,1.727992942
E34004322,8.187997104
E34004327,-3.176983917
E34004328,3.192052251
E34004329,7.906404445
E34004334,-4.150583568
E34004335,8.0385394
E34004336,3.260302957
E34004337,-1.204139772
E34004338,-1.00595494
E34004340,-0.246186213
E34004343,1.121771906
E34004346,-4.759452482
E34004349,1.113331627
E34004354,9.531051428
E34004358,-2.933743211
E34004367,0.506789648
E34004383,-3.294958102
E34004388,2.093625537
E34004389,-4.510351252
E34004392,3.10267164
E34004393,-4.50551239
E34004397,-4.920193481
E34004398,-5.030709544
E34004399,0.580825095
E34004403,1.296418602
E34004408,-1.693781118
E34004409,3.296634679
E34004415,-1.496422044
E34004421,3.61707852
E34004422,3.664639326
E34004426,-0.263818577
E34004435,4.165594223
E34004441,3.85144957
E34004442,-1.289171902
E34004453,-4.688911753
E34004458,6.977287881
E34004462,7.226617063
E34004471,-2.518701836
