prefecture,time,value
Hokkaido,2000,5683
Aomori-ken,2000,1476
Iwate-ken,2000,1416
Miyagi-ken,2000,2365
Akita-ken,2000,1189
Yamagata-ken,2000,1244
Fukushima-ken,2000,2127
Ibaraki-ken,2000,2986
Tochigi-ken,2000,2005
Gumma-ken,2000,2025
Saitama-ken,2000,6938
Chiba-ken,2000,5926
Tokyo-to,2000,12064
Kanagawa-ken,2000,8490
Niigata-ken,2000,2476
Toyama-ken,2000,1121
Ishikawa-ken,2000,1181
Fukui-ken,2000,829
Yamanashi-ken,2000,888
Nagano-ken,2000,2215
Gifu-ken,2000,2108
Shizuoka-ken,2000,3767
Aichi-ken,2000,7043
Mie-ken,2000,1857
Shiga-ken,2000,1343
Kyoto-fu,2000,2644
Osaka-fu,2000,8805
Hyogo-ken,2000,5551
Nara-ken,2000,1443
Wakayama-ken,2000,1070
Tottori-ken,2000,613
Shimane-ken,2000,762
Okayama-ken,2000,1951
Hiroshima-ken,2000,2879
Yamaguchi-ken,2000,1528
Tokushima-ken,2000,824
Kagawa-ken,2000,1023
Ehime-ken,2000,1493
Kochi-ken,2000,814
Fukuoka-ken,2000,5016
Saga-ken,2000,877
Nagasaki-ken,2000,1517
Kumamoto-ken,2000,1859
Oita-ken,2000,1221
Miyazaki-ken,2000,1170
Kagoshima-ken,2000,1786
Okinawa-ken,2000,1318
Hokkaido,2001,5680
Aomori-ken,2001,1473
Iwate-ken,2001,1413
Miyagi-ken,2001,2369
Akita-ken,2001,1183
Yamagata-ken,2001,1241
Fukushima-ken,2001,2124
Ibaraki-ken,2001,2990
Tochigi-ken,2001,2011
Gumma-ken,2001,2029
Saitama-ken,2001,6977
Chiba-ken,2001,5970
Tokyo-to,2001,12165
Kanagawa-ken,2001,8575
Niigata-ken,2001,2471
Toyama-ken,2001,1120
Ishikawa-ken,2001,1182
Fukui-ken,2001,830
Yamanashi-ken,2001,890
Nagano-ken,2001,2222
Gifu-ken,2001,2111
Shizuoka-ken,2001,3780
Aichi-ken,2001,7091
Mie-ken,2001,1862
Shiga-ken,2001,1354
Kyoto-fu,2001,2649
Osaka-fu,2001,8821
Hyogo-ken,2001,5572
Nara-ken,2001,1442
Wakayama-ken,2001,1065
Tottori-ken,2001,613
Shimane-ken,2001,760
Okayama-ken,2001,1954
Hiroshima-ken,2001,2880
Yamaguchi-ken,2001,1523
Tokushima-ken,2001,822
Kagawa-ken,2001,1022
Ehime-ken,2001,1490
Kochi-ken,2001,812
Fukuoka-ken,2001,5030
Saga-ken,2001,876
Nagasaki-ken,2001,1512
Kumamoto-ken,2001,1860
Oita-ken,2001,1220
Miyazaki-ken,2001,1168
Kagoshima-ken,2001,1782
Okinawa-ken,2001,1327
Hokkaido,2002,5672
Aomori-ken,2002,1467
Iwate-ken,2002,1407
Miyagi-ken,2002,2369
Akita-ken,2002,1175
Yamagata-ken,2002,1236
Fukushima-ken,2002,2118
Ibaraki-ken,2002,2987
Tochigi-ken,2002,2012
Gumma-ken,2002,2030
Saitama-ken,2002,7000
Chiba-ken,2002,5998
Tokyo-to,2002,12271
Kanagawa-ken,2002,8636
Niigata-ken,2002,2462
Toyama-ken,2002,1118
Ishikawa-ken,2002,1180
Fukui-ken,2002,828
Yamanashi-ken,2002,889
Nagano-ken,2002,2215
Gifu-ken,2002,2110
Shizuoka-ken,2002,3784
Aichi-ken,2002,7131
Mie-ken,2002,1863
Shiga-ken,2002,1361
Kyoto-fu,2002,2648
Osaka-fu,2002,8821
Hyogo-ken,2002,5580
Nara-ken,2002,1437
Wakayama-ken,2002,1059
Tottori-ken,2002,612
Shimane-ken,2002,756
Okayama-ken,2002,1956
Hiroshima-ken,2002,2878
Yamaguchi-ken,2002,1517
Tokushima-ken,2002,820
Kagawa-ken,2002,1020
Ehime-ken,2002,1485
Kochi-ken,2002,810
Fukuoka-ken,2002,5039
Saga-ken,2002,874
Nagasaki-ken,2002,1505
Kumamoto-ken,2002,1857
Oita-ken,2002,1219
Miyazaki-ken,2002,1165
Kagoshima-ken,2002,1776
Okinawa-ken,2002,1336
Hokkaido,2003,5663
Aomori-ken,2003,1459
Iwate-ken,2003,1401
Miyagi-ken,2003,2369
Akita-ken,2003,1165
Yamagata-ken,2003,1230
Fukushima-ken,2003,2110
Ibaraki-ken,2003,2985
Tochigi-ken,2003,2014
Gumma-ken,2003,2030
Saitama-ken,2003,7028
Chiba-ken,2003,6030
Tokyo-to,2003,12388
Kanagawa-ken,2003,8702
Niigata-ken,2003,2455
Toyama-ken,2003,1116
Ishikawa-ken,2003,1179
Fukui-ken,2003,827
Yamanashi-ken,2003,888
Nagano-ken,2003,2210
Gifu-ken,2003,2110
Shizuoka-ken,2003,3790
Aichi-ken,2003,7170
Mie-ken,2003,1864
Shiga-ken,2003,1368
Kyoto-fu,2003,2650
Osaka-fu,2003,8824
Hyogo-ken,2003,5589
Nara-ken,2003,1434
Wakayama-ken,2003,1052
Tottori-ken,2003,611
Shimane-ken,2003,752
Okayama-ken,2003,1958
Hiroshima-ken,2003,2879
Yamaguchi-ken,2003,1510
Tokushima-ken,2003,818
Kagawa-ken,2003,1018
Ehime-ken,2003,1481
Kochi-ken,2003,806
Fukuoka-ken,2003,5045
Saga-ken,2003,872
Nagasaki-ken,2003,1498
Kumamoto-ken,2003,1852
Oita-ken,2003,1217
Miyazaki-ken,2003,1162
Kagoshima-ken,2003,1770
Okinawa-ken,2003,1345
Hokkaido,2004,5650
Aomori-ken,2004,1448
Iwate-ken,2004,1395
Miyagi-ken,2004,2366
Akita-ken,2004,1156
Yamagata-ken,2004,1224
Fukushima-ken,2004,2102
Ibaraki-ken,2004,2982
Tochigi-ken,2004,2016
Gumma-ken,2004,2027
Saitama-ken,2004,7046
Chiba-ken,2004,6047
Tokyo-to,2004,12482
Kanagawa-ken,2004,8753
Niigata-ken,2004,2445
Toyama-ken,2004,1115
Ishikawa-ken,2004,1178
Fukui-ken,2004,824
Yamanashi-ken,2004,886
Nagano-ken,2004,2206
Gifu-ken,2004,2108
Shizuoka-ken,2004,3791
Aichi-ken,2004,7209
Mie-ken,2004,1867
Shiga-ken,2004,1375
Kyoto-fu,2004,2650
Osaka-fu,2004,8825
Hyogo-ken,2004,5592
Nara-ken,2004,1428
Wakayama-ken,2004,1045
Tottori-ken,2004,610
Shimane-ken,2004,747
Okayama-ken,2004,1959
Hiroshima-ken,2004,2879
Yamaguchi-ken,2004,1502
Tokushima-ken,2004,814
Kagawa-ken,2004,1016
Ehime-ken,2004,1475
Kochi-ken,2004,802
Fukuoka-ken,2004,5050
Saga-ken,2004,870
Nagasaki-ken,2004,1490
Kumamoto-ken,2004,1848
Oita-ken,2004,1214
Miyazaki-ken,2004,1159
Kagoshima-ken,2004,1763
Okinawa-ken,2004,1353
Hokkaido,2005,5628
Aomori-ken,2005,1437
Iwate-ken,2005,1385
Miyagi-ken,2005,2360
Akita-ken,2005,1146
Yamagata-ken,2005,1216
Fukushima-ken,2005,2091
Ibaraki-ken,2005,2975
Tochigi-ken,2005,2017
Gumma-ken,2005,2024
Saitama-ken,2005,7054
Chiba-ken,2005,6056
Tokyo-to,2005,12577
Kanagawa-ken,2005,8792
Niigata-ken,2005,2431
Toyama-ken,2005,1112
Ishikawa-ken,2005,1174
Fukui-ken,2005,822
Yamanashi-ken,2005,885
Nagano-ken,2005,2196
Gifu-ken,2005,2107
Shizuoka-ken,2005,3792
Aichi-ken,2005,7255
Mie-ken,2005,1867
Shiga-ken,2005,1380
Kyoto-fu,2005,2648
Osaka-fu,2005,8817
Hyogo-ken,2005,5591
Nara-ken,2005,1421
Wakayama-ken,2005,1036
Tottori-ken,2005,607
Shimane-ken,2005,742
Okayama-ken,2005,1957
Hiroshima-ken,2005,2877
Yamaguchi-ken,2005,1493
Tokushima-ken,2005,810
Kagawa-ken,2005,1012
Ehime-ken,2005,1468
Kochi-ken,2005,796
Fukuoka-ken,2005,5050
Saga-ken,2005,866
Nagasaki-ken,2005,1479
Kumamoto-ken,2005,1842
Oita-ken,2005,1210
Miyazaki-ken,2005,1153
Kagoshima-ken,2005,1753
Okinawa-ken,2005,1362
Hokkaido,2006,5605
Aomori-ken,2006,1424
Iwate-ken,2006,1375
Miyagi-ken,2006,2358
Akita-ken,2006,1134
Yamagata-ken,2006,1207
Fukushima-ken,2006,2080
Ibaraki-ken,2006,2974
Tochigi-ken,2006,2016
Gumma-ken,2006,2022
Saitama-ken,2006,7079
Chiba-ken,2006,6084
Tokyo-to,2006,12704
Kanagawa-ken,2006,8846
Niigata-ken,2006,2420
Toyama-ken,2006,1110
Ishikawa-ken,2006,1173
Fukui-ken,2006,820
Yamanashi-ken,2006,880
Nagano-ken,2006,2189
Gifu-ken,2006,2105
