prefecture,time,value
Hokkaido,2000,5683
Aomori,2000,1476
Iwate,2000,1416
Miyagi,2000,2365
Akita,2000,1189
Yamagata,2000,1244
Fukushima,2000,2127
Ibaraki,2000,2986
Tochigi,2000,2005
Gumma,2000,2025
Saitama,2000,6938
Chiba,2000,5926
Tokyo,2000,12064
Kanagawa,2000,8490
Niigata,2000,2476
Toyama,2000,1121
Ishikawa,2000,1181
Fukui,2000,829
Yamanashi,2000,888
Nagano,2000,2215
Gifu,2000,2108
Shizuoka,2000,3767
Aichi,2000,7043
Mie,2000,1857
Shiga,2000,1343
Kyoto,2000,2644
Osaka,2000,8805
Hyogo,2000,5551
Nara,2000,1443
Wakayama,2000,1070
Tottori,2000,613
Shimane,2000,762
Okayama,2000,1951
Hiroshima,2000,2879
Yamaguchi,2000,1528
Tokushima,2000,824
Kagawa,2000,1023
Ehime,2000,1493
Kochi,2000,814
Fukuoka,2000,5016
Saga,2000,877
Nagasaki,2000,1517
Kumamoto,2000,1859
Oita,2000,1221
Miyazaki,2000,1170
Kagoshima,2000,1786
Okinawa,2000,1318
Hokkaido,2001,5680
Aomori,2001,1473
Iwate,2001,1413
Miyagi,2001,2369
Akita,2001,1183
Yamagata,2001,1241
Fukushima,2001,2124
Ibaraki,2001,2990
Tochigi,2001,2011
Gumma,2001,2029
Saitama,2001,6977
Chiba,2001,5970
Tokyo,2001,12165
Kanagawa,2001,8575
Niigata,2001,2471
Toyama,2001,1120
Ishikawa,2001,1182
Fukui,2001,830
Yamanashi,2001,890
Nagano,2001,2222
Gifu,2001,2111
Shizuoka,2001,3780
Aichi,2001,7091
Mie,2001,1862
Shiga,2001,1354
Kyoto,2001,2649
Osaka,2001,8821
Hyogo,2001,5572
Nara,2001,1442
Wakayama,2001,1065
Tottori,2001,613
Shimane,2001,760
Okayama,2001,1954
Hiroshima,2001,2880
Yamaguchi,2001,1523
Tokushima,2001,822
Kagawa,2001,1022
Ehime,2001,1490
Kochi,2001,812
Fukuoka,2001,5030
Saga,2001,876
Nagasaki,2001,1512
Kumamoto,2001,1860
Oita,2001,1220
Miyazaki,2001,1168
Kagoshima,2001,1782
Okinawa,2001,1327
Hokkaido,2002,5672
Aomori,2002,1467
Iwate,2002,1407
Miyagi,2002,2369
Akita,2002,1175
Yamagata,2002,1236
Fukushima,2002,2118
Ibaraki,2002,2987
Tochigi,2002,2012
Gumma,2002,2030
Saitama,2002,7000
Chiba,2002,5998
Tokyo,2002,12271
Kanagawa,2002,8636
Niigata,2002,2462
Toyama,2002,1118
Ishikawa,2002,1180
Fukui,2002,828
Yamanashi,2002,889
Nagano,2002,2215
Gifu,2002,2110
Shizuoka,2002,3784
Aichi,2002,7131
Mie,2002,1863
Shiga,2002,1361
Kyoto,2002,2648
Osaka,2002,8821
Hyogo,2002,5580
Nara,2002,1437
Wakayama,2002,1059
Tottori,2002,612
Shimane,2002,756
Okayama,2002,1956
Hiroshima,2002,2878
Yamaguchi,2002,1517
Tokushima,2002,820
Kagawa,2002,1020
Ehime,2002,1485
Kochi,2002,810
Fukuoka,2002,5039
Saga,2002,874
Nagasaki,2002,1505
Kumamoto,2002,1857
Oita,2002,1219
Miyazaki,2002,1165
Kagoshima,2002,1776
Okinawa,2002,1336
Hokkaido,2003,5663
Aomori,2003,1459
Iwate,2003,1401
Miyagi,2003,2369
Akita,2003,1165
Yamagata,2003,1230
Fukushima,2003,2110
Ibaraki,2003,2985
Tochigi,2003,2014
Gumma,2003,2030
Saitama,2003,7028
Chiba,2003,6030
Tokyo,2003,12388
Kanagawa,2003,8702
Niigata,2003,2455
Toyama,2003,1116
Ishikawa,2003,1179
Fukui,2003,827
Yamanashi,2003,888
Nagano,2003,2210
Gifu,2003,2110
Shizuoka,2003,3790
Aichi,2003,7170
