time_period,time_identifier,geographic_level,country_code,country_name,admissions_group,school_phase,admission_numbers,applications_received,first_preference_offers,first_preference_offers_percent,second_preference_offers,second_preference_offers_percent,third_preference_offers,third_preference_offers_percent,one_of_the_three_preference_offers,one_of_the_three_preference_offers_percent,preferred_school_offer,preferred_school_offer_percent,non_preferred_offer,non_preferred_offer_percent,no_offer,no_offer_percent
202425,Academic year,National,E92000001,England,selective,secondary,206538,189735,153553,80.93024482,18302,9.64608533,6270,3.30460906,178125,93.8809392,181972,95.90850397,7315,3.855377237,448,0.236118797
202425,Academic year,National,E92000001,England,non-selective,secondary,448396,419841,351924,83.82316163,35074,8.35411501,11293,2.689827816,398291,94.86710445,403247,96.04755133,15685,3.735938129,909,0.216510536
202425,Academic year,National,E92000001,England,total,secondary,654934,609576,505477,82.92272005,53376,8.756250246,17563,2.881182986,576416,94.56015329,585219,96.00427182,23000,3.773114427,1357,0.222613751
202324,Academic year,National,E92000001,England,selective,secondary,210819,195355,157982,80.86918686,18524,9.482224668,6210,3.178828287,182716,93.53023982,186612,95.52455786,8298,4.247651711,445,0.227790433
202324,Academic year,National,E92000001,England,non-selective,secondary,445092,424636,353976,83.35986586,35412,8.339377726,11436,2.693130116,400824,94.3923737,406020,95.61600995,17595,4.143548828,1021,0.240441225
202324,Academic year,National,E92000001,England,total,secondary,655911,619991,511958,82.57506964,53936,8.699481122,17646,2.846170348,583540,94.12072111,592632,95.58719401,25893,4.176350947,1466,0.236455045
202223,Academic year,National,E92000001,England,selective,secondary,210092,193261,157533,81.51308334,17708,9.162738473,5989,3.098918043,181230,93.77473986,184890,95.66855185,7947,4.112055717,424,0.219392428
202223,Academic year,National,E92000001,England,non-selective,secondary,443398,420798,353693,84.0529185,33863,8.047329122,10781,2.562036892,398337,94.66228452,403462,95.88020856,15915,3.782099725,1421,0.337691719
202223,Academic year,National,E92000001,England,total,secondary,653490,614059,511226,83.25356358,51571,8.398378657,16770,2.731007932,579567,94.38295017,588352,95.81359446,23862,3.885945813,1845,0.300459728
202122,Academic year,National,E92000001,England,selective,secondary,206358,189373,147410,77.84108611,19709,10.40750265,8115,4.285193771,175234,92.53378253,181132,95.64827087,7804,4.120967614,437,0.230761513
202122,Academic year,National,E92000001,England,non-selective,secondary,440806,415833,343555,82.6185031,34478,8.291309252,12071,2.902848018,390104,93.81266037,396763,95.41402438,17253,4.149021362,1817,0.436954258
202122,Academic year,National,E92000001,England,total,secondary,647164,605206,490965,81.12361741,54187,8.953480303,20186,3.335393238,565338,93.41249095,577895,95.48732167,25057,4.140243157,2254,0.372435171
202021,Academic year,National,E92000001,England,selective,secondary,206937,189212,152643,80.67300171,17760,9.386296852,6293,3.325898992,176696,93.38519756,180475,95.38242818,7781,4.112318458,956,0.505253367
202021,Academic year,National,E92000001,England,non-selective,secondary,438025,411140,340648,82.85450212,34559,8.405652576,11976,2.912876392,387183,94.17303108,393164,95.6277667,16617,4.041688962,1359,0.33054434
202021,Academic year,National,E92000001,England,total,secondary,644962,600352,493291,82.16696205,52319,8.714720697,18269,3.043048078,563879,93.92473082,573639,95.55044374,24398,4.06394915,2315,0.38560711
