University,Employment Rate
Medicine & dentistry and veterinary science,99.3
Subjects allied to medicine,95.0
Biological sciences,90.6
Agriculture & related subjects,89.3
Physical sciences,88.8
Mathematical sciences,88.9
Computer sciences,81.8
Engineering & technology,85.9
"Architecture, building, and planning",86.3
Social studies,89.8
Law,93.3
Business & administrative studies,88.4
Mass communications & documentation,85.3
Languages,90.4
Historical & philosophical studies,89.3
Creative arts & design,86.8
Education,95.2
Combined subjects,90.0
All subjects,89.9
